Date,Category,Description,Amount,Payment
2026-02-01,Transport,Bus,593,UPI
2026-03-11,Entertainment,Movie,1485,UPI
2026-01-12,Health,Medicine,222,UPI
2026-01-26,Education,Course,2498,Card
2026-03-17,Health,Doctor,1939,Cash
2026-02-24,Food,Restaurant,1479,Cash
2026-02-13,Shopping,Shoes,1963,UPI
2026-02-15,Transport,Cab,228,Cash
2026-03-10,Shopping,Clothes,3963,UPI
2026-02-07,Health,Medicine,2361,Card
2026-01-06,Bills,Internet,584,Card
2026-01-30,Education,Study Material,526,UPI
2026-03-23,Health,Pharmacy,1957,Cash
2026-01-27,Entertainment,Streaming,827,Card
2026-03-10,Shopping,Clothes,1601,Card
2026-02-18,Education,Books,2093,Cash
2026-01-30,Education,Study Material,429,UPI
2026-01-09,Bills,Water Bill,1396,UPI
2026-03-05,Bills,Internet,2984,Cash
2026-01-18,Subscriptions,Spotify,371,UPI
2026-02-21,Shopping,Accessories,4980,Cash
2026-03-05,Education,Books,2287,UPI
2026-03-22,Food,Groceries,363,UPI
2026-02-18,Health,Medicine,1676,Card
2026-01-02,Subscriptions,Cloud Storage,666,Card
2026-01-15,Transport,Fuel,726,Cash
2026-01-01,Health,Doctor,1958,Card
2026-01-14,Shopping,Shoes,4358,Card
2026-02-17,Shopping,Shoes,1452,UPI
2026-01-03,Food,Snacks,1050,UPI
2026-01-08,Bills,Mobile Recharge,1280,UPI
2026-01-09,Transport,Bus,1025,Card
2026-03-02,Entertainment,Games,1451,Card
2026-03-19,Entertainment,Streaming,1180,Cash
2026-02-21,Education,Books,1476,Card
2026-02-27,Bills,Water Bill,2419,UPI
2026-02-13,Education,Books,462,UPI
2026-01-10,Education,Books,229,Card
2026-01-05,Food,Restaurant,188,Cash
2026-03-27,Transport,Auto,600,Cash
2026-03-15,Education,Books,2538,Cash
2026-01-25,Education,Exam Fee,1867,UPI
2026-02-24,Transport,Cab,755,Cash
2026-03-25,Subscriptions,Netflix,789,Card
2026-02-13,Transport,Bus,854,UPI
2026-03-10,Education,Books,979,Cash
2026-02-05,Entertainment,Concert,475,Cash
2026-03-12,Education,Course,2015,UPI
2026-01-31,Food,Groceries,241,UPI
2026-01-28,Health,Health Checkup,2071,Cash
2026-01-01,Food,Restaurant,826,Cash
2026-02-24,Shopping,Accessories,2536,Card
2026-02-07,Subscriptions,Spotify,294,UPI
2026-01-08,Food,Groceries,692,UPI
2026-03-07,Subscriptions,Spotify,158,UPI
2026-01-09,Entertainment,Movie,1318,Card
2026-03-14,Education,Exam Fee,691,UPI
2026-03-26,Food,Groceries,908,Card
2026-03-27,Bills,Mobile Recharge,1136,Card
2026-02-20,Bills,Internet,1387,UPI
2026-01-10,Shopping,Accessories,2790,UPI
2026-03-10,Subscriptions,Netflix,175,UPI
2026-01-09,Shopping,Shoes,3059,UPI
2026-02-26,Bills,Mobile Recharge,946,Card
2026-02-08,Shopping,Clothes,4743,Card
2026-01-15,Transport,Auto,571,UPI
2026-03-19,Entertainment,Streaming,677,UPI
2026-02-03,Bills,Internet,2897,Card
2026-01-07,Subscriptions,Cloud Storage,966,UPI
2026-01-01,Health,Pharmacy,280,Cash
2026-02-26,Entertainment,Streaming,430,Card
2026-01-10,Health,Medicine,558,Card
2026-02-17,Entertainment,Movie,1809,Card
2026-01-06,Entertainment,Concert,361,Cash
2026-01-27,Bills,Electricity,1765,Card
2026-03-13,Education,Course,1648,Cash
2026-01-21,Entertainment,Games,1870,UPI
2026-02-12,Health,Medicine,834,Cash
2026-03-31,Education,Study Material,852,UPI
2026-03-02,Health,Medicine,3616,UPI
2026-02-09,Education,Exam Fee,1632,UPI
2026-01-25,Education,Course,2903,Cash
2026-02-05,Bills,Mobile Recharge,584,Cash
2026-01-04,Health,Pharmacy,3947,UPI
2026-02-03,Shopping,Shoes,4956,UPI
2026-02-10,Transport,Cab,737,Cash
2026-02-02,Transport,Cab,419,UPI
2026-03-10,Health,Medicine,2229,Card
2026-01-09,Education,Study Material,1966,Card
2026-02-08,Bills,Mobile Recharge,810,Card
2026-02-21,Shopping,Accessories,2872,Card
2026-02-23,Shopping,Shoes,1771,Card
2026-03-14,Health,Doctor,2621,Cash
2026-02-06,Health,Medicine,1344,UPI
2026-02-26,Health,Pharmacy,2004,Cash
2026-03-26,Education,Exam Fee,895,UPI
2026-01-31,Shopping,Electronics,965,Card
2026-01-19,Shopping,Shoes,1831,UPI
2026-03-20,Food,Restaurant,1023,UPI
2026-03-15,Subscriptions,Software,744,UPI
